ANO_CENSO|PK_COD_TURMA|NO_TURMA|HR_INICIAL|HR_INICIAL_MINUTO|NU_DURACAO_TURMA|NUM_MATRICULAS|FK_COD_MOD_ENSINO|FK_COD_ETAPA_ENSINO|FK_COD_CURSO_PROF|FK_COD_TIPO_TURMA|ID_MAIS_EDUCACAO|ID_DIA_SEMANA_DOMINGO|ID_DIA_SEMANA_SEGUNDA|ID_DIA_SEMANA_TERCA|ID_DIA_SEMANA_QUARTA|ID_DIA_SEMANA_QUINTA|ID_DIA_SEMANA_SEXTA|ID_DIA_SEMANA_SABADO|FK_COD_TIPO_ATIVIDADE_1|FK_COD_TIPO_ATIVIDADE_2|FK_COD_TIPO_ATIVIDADE_3|FK_COD_TIPO_ATIVIDADE_4|FK_COD_TIPO_ATIVIDADE_5|FK_COD_TIPO_ATIVIDADE_6|ID_BRAILLE|ID_RECURSOS_BAIXA_VISAO|ID_PROCESSOS_MENTAIS|ID_ORIENTACAO_MOBILIDADE|ID_SINAIS|ID_COM_ALT_AUMENT|ID_ENRIQ_CURRICULAR|ID_SOROBAN|ID_INF_ACESSIVEL|ID_PORT_ESC|ID_AUT_ESCOLAR|ID_QUIMICA|ID_FISICA|ID_MATEMATICA|ID_BIOLOGIA|ID_CIENCIAS|ID_LINGUA_LITERAT_PORTUGUESA|ID_LINGUA_LITERAT_INGLES|ID_LINGUA_LITERAT_ESPANHOL|ID_LINGUA_LITERAT_FRANCES|ID_LINGUA_LITERAT_OUTRA|ID_LINGUA_LITERAT_INDIGENA|ID_ARTES|ID_EDUCACAO_FISICA|ID_HISTORIA|ID_GEOGRAFIA|ID_FILOSOFIA|ID_ENSINO_RELIGIOSO|ID_ESTUDOS_SOCIAIS|ID_SOCIOLOGIA|ID_INFORMATICA_COMPUTACAO|ID_PROFISSIONALIZANTE|ID_DISC_ATENDIMENTO_ESPECIAIS|ID_DISC_DIVERSIDADE_SOCIO_CULT|ID_LIBRAS|ID_DISCIPLINAS_PEDAG|ID_OUTRAS_DISCIPLINAS|PK_COD_ENTIDADE|FK_COD_ESTADO|FK_COD_MUNICIPIO|FK_COD_DISTRITO|ID_LOCALIZACAO|ID_DEPENDENCIA_ADM|DESC_CATEGORIA_ESCOLA_PRIVADA|ID_CONVENIADA_PP|ID_TIPO_CONVENIO_PODER_PUBLICO|ID_MANT_ESCOLA_PRIVADA_EMP|ID_MANT_ESCOLA_PRIVADA_ONG|ID_MANT_ESCOLA_PRIVADA_SIND|ID_MANT_ESCOLA_PRIVADA_SIST_S|ID_MANT_ESCOLA_PRIVADA_S_FINS|ID_DOCUMENTO_REGULAMENTACAO|ID_LOCALIZACAO_DIFERENCIADA|ID_EDUCACAO_INDIGENA
2014|683910|2303 EMR MATUTINO|7|15|260|29|1|26||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|1|0|0|0|0|1|1|1|1|1|0|0|1|0|0|0|0|0|0|0|17033993|17|1707009|5|1|2||||0|0|0|0|0|1|0|0
2014|684267|2304 EMR MATUTINO|7|15|260|29|1|26||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|1|0|0|0|0|1|1|1|1|1|0|0|1|0|0|0|0|0|0|0|17033993|17|1707009|5|1|2||||0|0|0|0|0|1|0|0
2014|685152|2305 EMR NOTURNO|19|0|195|33|1|26||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|1|0|0|0|0|1|1|1|1|1|0|0|1|0|0|0|0|0|0|0|17033993|17|1707009|5|1|2||||0|0|0|0|0|1|0|0
2014|663828|3101 VESPERTINO|13|0|255|32|1|16||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|1|1|1|1|0|1|0|0|0|0|0|0|0|0|0|17033993|17|1707009|5|1|2||||0|0|0|0|0|1|0|0
2014|664052|3102 VESPERTINO|13|0|255|33|1|16||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|1|1|1|1|0|1|0|0|0|0|0|0|0|0|0|17033993|17|1707009|5|1|2||||0|0|0|0|0|1|0|0
2014|664404|3103 VESPERTINO|13|0|255|32|1|16||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|1|1|1|1|0|1|0|0|0|0|0|0|0|0|0|17033993|17|1707009|5|1|2||||0|0|0|0|0|1|0|0
2014|687753|3301 EMR MATUTINO|7|15|260|27|1|27||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|1|0|0|0|0|1|1|1|1|1|0|0|1|0|0|0|0|0|0|0|17033993|17|1707009|5|1|2||||0|0|0|0|0|1|0|0
2014|688152|3302 EMR MATUTINO|7|15|260|35|1|27||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|1|0|0|0|0|1|1|1|1|1|0|0|1|0|0|0|0|0|0|0|17033993|17|1707009|5|1|2||||0|0|0|0|0|1|0|0
2014|688083|3303 EMR MATUTINO|7|15|260|27|1|27||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|1|0|0|0|0|1|1|1|1|1|0|0|1|0|0|0|0|0|0|0|17033993|17|1707009|5|1|2||||0|0|0|0|0|1|0|0
2014|688483|3304 EMR NOTURNO|19|0|195|25|1|27||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|1|0|0|0|0|1|1|1|1|1|0|0|1|0|0|0|0|0|0|0|17033993|17|1707009|5|1|2||||0|0|0|0|0|1|0|0
2014|688543|3305 EMR NOTURNO|19|0|195|22|1|27||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|1|0|0|0|0|1|1|1|1|1|0|0|1|0|0|0|0|0|0|0|17033993|17|1707009|5|1|2||||0|0|0|0|0|1|0|0
2014|664829|4101 VESPERTINO|13|0|255|31|1|17||0|0|0|1|1|1|1|1|0|||||||0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|1|1|1|1|0|1|0|0|0|0|0|0|0|0|0|17033993|17|1707009|5|1|2||||0|0|0|0|0|1|0|0
